key,source_csv,document,quoted,before,after,confidence,status
CEH36_synthetic_control_step,outputs/09_scraping_intervention/09e_report_numbers.csv,report_edits/text/report9.md,0.137,CEH4 (+0.129 m) and synthetic control from 11 donor wells (+,"m) — while the SSM forward residual, an autonomous-forecast",high,confirmed
ANCOVA_Forest_Impact_clearfell_step,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,docs/report/text/Newborough_Methods_Supplement.md,0.113,e pipeline data the ANCOVA Forest-Impact clearfell step is +,"m annual (95 % CI \[+0.042, +0.183\], p = 0.002, N = 163 mo",high,confirmed
ANCOVA_Forest_Impact_coeff_clearfell,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,docs/report/text/Newborough_Methods_Supplement.md,0.120,e pipeline data the ANCOVA Forest-Impact clearfell step is +,"m annual (95 % CI \[+0.050, +0.189\], p \ L.) The exponen",high,rejected
ANCOVA_Combined_Impact_R2,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.256,"\[+0.034, +0.105\] \<0.001 \*\*\* +0.076 0.309","145 Combined Edge −0.020 \[−0.046, +0.006\] 0",high,confirmed
ANCOVA_Combined_Edge_Oct2023_step,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.117,"8 144 Combined Edge −0.022 [−0.049, +0.005]",ns +0.287 0.021 0.451 141 **Table :** Thr,high,rejected
Sensitivity_lambda200_Forest_Impact_clearfell,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,docs/report/text/Newborough_Methods_Supplement.md,0.120,e pipeline data the ANCOVA Forest-Impact clearfell step is +,"m annual (95 % CI \[+0.050, +0.189\], p \ L.) The exponen",high,rejected
Sensitivity_lambda500_Forest_Impact_clearfell,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,docs/report/text/Newborough_Methods_Supplement.md,0.120,e pipeline data the ANCOVA Forest-Impact clearfell step is +,"m annual (95 % CI \[+0.050, +0.189\], p \ L.) The exponen",high,rejected
CoeffShift_WMC3_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.52,er Δβ₂ β₃ before β₃ after Δβ₃ WMC3 Impact,4 2.424 −0.100 2.017 1.741 −0.277 0.035 0.034,high,rejected
CoeffShift_WMC3_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.425,efore β₃ after Δβ₃ WMC3 Impact 2.521,−0.096 1.996 1.690 −0.306 0.0343 0,high,confirmed
CoeffShift_WMC3_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.996,β₃ WMC3 Impact 2.521 2.425 −0.096,1.690 −0.306 0.0343 0.0346 +0.0003,high,confirmed
CoeffShift_WMC3_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.74,Δβ₃ WMC3 Impact 2.524 2.424 −0.100 2.017,1 −0.277 0.035 0.034 −0.001 CEH31 Edge 2.6,high,rejected
CoeffShift_CEH31_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.676,6 0.0343 0.0346 +0.0003 CEH31 Edge,2.094 −0.581 1.487 1.232 −0.256 0,high,confirmed
CoeffShift_CEH31_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.094,0.0346 +0.0003 CEH31 Edge 2.676,−0.581 1.487 1.232 −0.256 0.0568 0,high,confirmed
CoeffShift_CEH31_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.49,.034 −0.001 CEH31 Edge 2.683 2.089 −0.594,0 1.278 −0.211 0.057 0.039 −0.018 CEH20 Ed,high,rejected
CoeffShift_CEH31_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.232,Edge 2.676 2.094 −0.581 1.487,−0.256 0.0568 0.0400 −0.0168 CEH20 Edge,high,confirmed
CoeffShift_CEH20_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.570,6 0.0568 0.0400 −0.0168 CEH20 Edge,2.515 −0.055 2.159 1.977 −0.182 0,high,confirmed
CoeffShift_CEH20_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.52,0.211 0.057 0.039 −0.018 CEH20 Edge 2.580,2 -0.058 2.161 2.039 −0.123 0.032 0.030 −0.002,high,rejected
CoeffShift_CEH20_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.159,68 CEH20 Edge 2.570 2.515 −0.055,1.977 −0.182 0.0309 0.0307 −0.0002,high,confirmed
CoeffShift_CEH20_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.977,Edge 2.570 2.515 −0.055 2.159,−0.182 0.0309 0.0307 −0.0002 CEH30 Edge,high,confirmed
CoeffShift_CEH30_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.53,.039 −0.123 0.032 0.030 −0.002 CEH30 Edge,1 2.255 −0.276 2.089 2.148 +0.059 0.040 0.023,high,rejected
CoeffShift_CEH30_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.259,0.0307 −0.0002 CEH30 Edge 2.521,−0.262 2.087 2.074 −0.012 0.0389 0,high,confirmed
CoeffShift_CEH30_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.087,02 CEH30 Edge 2.521 2.259 −0.262,2.074 −0.012 0.0389 0.0253 −0.0137,high,confirmed
CoeffShift_CEH30_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.074,Edge 2.521 2.259 −0.262 2.087,−0.012 0.0389 0.0253 −0.0137 CEH16 Edge,high,confirmed
CoeffShift_CEH16_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.659,2 0.0389 0.0253 −0.0137 CEH16 Edge,2.480 −0.179 1.317 1.369 +0.052 0,high,confirmed
CoeffShift_CEH16_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.46,0.059 0.040 0.023 −0.017 CEH16 Edge 2.666,2 −0.204 1.315 1.440 +0.125 0.047 0.037 −0.010,high,rejected
CoeffShift_CEH16_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.317,37 CEH16 Edge 2.659 2.480 −0.179,1.369 +0.052 0.0463 0.0382 −0.0081,high,confirmed
CoeffShift_CEH16_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.369,Edge 2.659 2.480 −0.179 1.317,+0.052 0.0463 0.0382 −0.0081 CEH32 Fore,high,confirmed
CoeffShift_CEH16_db2,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.052,2.659 2.480 −0.179 1.317 1.369 +,0.0463 0.0382 −0.0081 CEH32 Forest Ctrl 2,high,confirmed
CoeffShift_CEH32_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.48,+0.125 0.047 0.037 −0.010 CEH32 Forest Ctrl,0 2.322 −0.158 2.375 2.596 +0.221 0.028 0.012,high,rejected
CoeffShift_CEH32_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.320,0.0382 −0.0081 CEH32 Forest Ctrl 2.468,−0.149 2.370 2.500 +0.130 0.0265 0,high,confirmed
CoeffShift_CEH32_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.370,81 CEH32 Forest Ctrl 2.468 2.320 −0.149,2.500 +0.130 0.0265 0.0149 −0.0116,high,confirmed
CoeffShift_CEH32_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.500,Forest Ctrl 2.468 2.320 −0.149 2.370,+0.130 0.0265 0.0149 −0.0116 CEH34 Fore,high,confirmed
CoeffShift_CEH32_db2,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.130,2.468 2.320 −0.149 2.370 2.500 +,0.0265 0.0149 −0.0116 CEH34 Forest Ctrl 2,high,confirmed
CoeffShift_CEH34_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.59,CEH32 Forest Ctrl 2.480 2.322 −0.158 2.375,6 +0.221 0.028 0.012 −0.015 CEH34 Forest Ctr,high,rejected
CoeffShift_CEH34_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.34,0.028 0.012 −0.015 CEH34 Forest Ctrl 2.588,2 −0.245 2.344 2.646 +0.302 0.024 0.008 −0.016,high,rejected
CoeffShift_CEH34_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.34,0.028 0.012 −0.015 CEH34 Forest Ctrl 2.588,2 −0.245 2.344 2.646 +0.302 0.024 0.008 −0.016,high,rejected
CoeffShift_CEH34_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.608,Forest Ctrl 2.576 2.320 −0.256 2.342,+0.266 0.0231 0.0084 −0.0147 CEH33 Fore,high,confirmed
CoeffShift_CEH34_db2,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.266,2.576 2.320 −0.256 2.342 2.608 +,0.0231 0.0084 −0.0147 CEH33 Forest Ctrl 2,high,confirmed
CoeffShift_CEH33_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.447,6 0.0231 0.0084 −0.0147 CEH33 Forest Ctrl,2.201 −0.245 2.076 2.139 +0.062 0,high,confirmed
CoeffShift_CEH33_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.20,CEH33 Forest Ctrl 2.456 2.195 −0.261 2.080,1 +0.121 0.037 0.019 −0.017 NW10 Forest Ctrl,high,rejected
CoeffShift_CEH33_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.08,−0.016 CEH33 Forest Ctrl 2.456 2.195 −0.261,0 2.201 +0.121 0.037 0.019 −0.017 NW10 For,high,rejected
CoeffShift_CEH33_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.20,CEH33 Forest Ctrl 2.456 2.195 −0.261 2.080,1 +0.121 0.037 0.019 −0.017 NW10 Forest Ctrl,high,rejected
CoeffShift_CEH33_db2,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.062,2.447 2.201 −0.245 2.076 2.139 +,0.0355 0.0212 −0.0143 NW10 Forest Ctrl 3,high,confirmed
CoeffShift_NW10_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.235,2 0.0355 0.0212 −0.0143 NW10 Forest Ctrl,3.499 +0.264 2.606 2.481 −0.125 0,high,confirmed
CoeffShift_NW10_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.499,0.0212 −0.0143 NW10 Forest Ctrl 3.235,+0.264 2.606 2.481 −0.125 0.0366 0,high,confirmed
CoeffShift_NW10_db1,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.264,−0.0143 NW10 Forest Ctrl 3.235 3.499 +,2.606 2.481 −0.125 0.0366 0.0432 +0,high,confirmed
CoeffShift_NW10_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.63,−0.017 NW10 Forest Ctrl 3.239 3.517 +0.278,2 2.484 −0.148 0.037 0.044 +0.007 CEH2 For,high,rejected
CoeffShift_NW10_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report10.md,2.63,elow CEH2 (β₂ = 2.891) and close to the C4 per-well median (,4). The broadleaf stand does not show an increase in atmosph,high,rejected
CoeffShift_NW10_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.48,NW10 Forest Ctrl 3.239 3.517 +0.278 2.632,4 −0.148 0.037 0.044 +0.007 CEH2 Forest Ctrl,high,rejected
CoeffShift_CEH2_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.63,−0.017 NW10 Forest Ctrl 3.239 3.517 +0.278,2 2.484 −0.148 0.037 0.044 +0.007 CEH2 For,high,rejected
CoeffShift_CEH2_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report10.md,2.63,elow CEH2 (β₂ = 2.891) and close to the C4 per-well median (,4). The broadleaf stand does not show an increase in atmosph,high,rejected
CoeffShift_CEH2_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.74,0.037 0.044 +0.007 CEH2 Forest Ctrl 2.630,5 +0.115 2.616 2.846 +0.230 0.023 0.018 −0.006,high,rejected
CoeffShift_CEH2_db1,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.115,0.044 +0.007 CEH2 Forest Ctrl 2.630 2.745 +,2.616 2.846 +0.230 0.023 0.018 −0.006 CEH,high,confirmed
CoeffShift_CEH2_db1,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,docs/report/text/Supplementary_Material.md,0.115,54 0.178 0.134 0.246 CEH26 C1 49 0.214,0.276 CEH27 C1 52 0.216 0.140 0.298 C,high,rejected
CoeffShift_CEH2_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report10.md,2.62,the dormant season. The atmospheric draw coefficient β₂ =,8 at NW10 is below CEH2 (β₂ = 2.891) and close to the C4 per,high,rejected
CoeffShift_CEH2_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.801,Forest Ctrl 2.627 2.718 +0.091 2.582,+0.219 0.0228 0.0181 −0.0047 CEH19 Coas,high,confirmed
CoeffShift_CEH2_db2,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.219,2.627 2.718 +0.091 2.582 2.801 +,0.0228 0.0181 −0.0047 CEH19 Coastal Ctrl 2,high,confirmed
CoeffShift_CEH19_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.381,9 0.0228 0.0181 −0.0047 CEH19 Coastal Ctrl,2.209 −0.173 0.966 0.776 −0.190 0,high,confirmed
CoeffShift_CEH19_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.209,0.0181 −0.0047 CEH19 Coastal Ctrl 2.381,−0.173 0.966 0.776 −0.190 0.0462 0,high,confirmed
CoeffShift_CEH19_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.966,47 CEH19 Coastal Ctrl 2.381 2.209 −0.173,0.776 −0.190 0.0462 0.0439 −0.0023,high,confirmed
CoeffShift_CEH19_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.776,Coastal Ctrl 2.381 2.209 −0.173 0.966,−0.190 0.0462 0.0439 −0.0023 CEH17 Coas,high,confirmed
CoeffShift_CEH17_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.440,0 0.0462 0.0439 −0.0023 CEH17 Coastal Ctrl,2.040 −0.400 1.207 1.086 −0.121 0,high,confirmed
CoeffShift_CEH17_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.01,0.046 0.043 −0.004 CEH17 Coastal Ctrl 2.445,3 −0.432 1.210 1.164 −0.046 0.078 0.055 −0.023,high,rejected
CoeffShift_CEH17_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.21,0.004 CEH17 Coastal Ctrl 2.445 2.013 −0.432,0 1.164 −0.046 0.078 0.055 −0.023 CEH9 Cli,high,rejected
CoeffShift_CEH17_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.086,Coastal Ctrl 2.440 2.040 −0.400 1.207,−0.121 0.0771 0.0580 −0.0191 CEH9 Clim,high,confirmed
CoeffShift_CEH9_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.22,−0.046 0.078 0.055 −0.023 CEH9 Climate Ctrl,4 3.028 −0.197 2.088 2.233 +0.145 0.037 0.033,high,rejected
CoeffShift_CEH9_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.090,91 CEH9 Climate Ctrl 3.212 3.026 −0.186,2.158 +0.068 0.0365 0.0342 −0.0024,high,confirmed
CoeffShift_CEH9_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.23,CEH9 Climate Ctrl 3.224 3.028 −0.197 2.088,3 +0.145 0.037 0.033 −0.004 NW7 Climate Ctrl,high,rejected
CoeffShift_CEH9_db2,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.068,l 3.212 3.026 −0.186 2.090 2.158 +,0.0365 0.0342 −0.0024 NW7 Climate Ctrl 3,high,confirmed
CoeffShift_NW7_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.120,8 0.0365 0.0342 −0.0024 NW7 Climate Ctrl,2.818 −0.302 1.988 1.909 −0.079 0,high,confirmed
CoeffShift_NW7_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.818,0.0342 −0.0024 NW7 Climate Ctrl 3.120,−0.302 1.988 1.909 −0.079 0.0538 0,high,confirmed
CoeffShift_NW7_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.988,24 NW7 Climate Ctrl 3.120 2.818 −0.302,1.909 −0.079 0.0538 0.0428 −0.0110,high,confirmed
CoeffShift_NW7_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.93,NW7 Climate Ctrl 3.124 2.825 −0.299 2.008,5 −0.073 0.054 0.043 −0.012 NW6 Climate Ctrl,high,rejected
CoeffShift_NW6_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.37,−0.073 0.054 0.043 −0.012 NW6 Climate Ctrl,6 3.277 −0.099 1.352 1.211 −0.142 0.057 0.055,high,rejected
CoeffShift_NW6_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.304,0.0428 −0.0110 NW6 Climate Ctrl 3.367,−0.063 1.359 1.123 −0.236 0.0562 0,high,confirmed
CoeffShift_NW6_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.359,10 NW6 Climate Ctrl 3.367 3.304 −0.063,1.123 −0.236 0.0562 0.0564 +0.0002,high,confirmed
CoeffShift_NW6_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.21,NW6 Climate Ctrl 3.376 3.277 −0.099 1.352,1 −0.142 0.057 0.055 −0.002 NW5 Climate Ctrl,high,rejected
CoeffShift_NW5_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.49,−0.142 0.057 0.055 −0.002 NW5 Climate Ctrl,1 3.525 +0.034 2.056 1.956 −0.100 0.051 0.051,high,rejected
CoeffShift_NW5_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.52,0.057 0.055 −0.002 NW5 Climate Ctrl 3.491,5 +0.034 2.056 1.956 −0.100 0.051 0.051 0.000,high,rejected
CoeffShift_NW5_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.058,02 NW5 Climate Ctrl 3.483 3.497 +0.014,1.938 −0.120 0.0507 0.0496 −0.0011,high,confirmed
CoeffShift_NW5_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.938,Climate Ctrl 3.483 3.497 +0.014 2.058,−0.120 0.0507 0.0496 −0.0011 WMC2 Clim,high,confirmed
CoeffShift_WMC2_b1_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.379,0 0.0507 0.0496 −0.0011 WMC2 Climate Ctrl,3.297 −0.082 2.122 1.765 −0.357 0,high,confirmed
CoeffShift_WMC2_b1_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,3.31,0.051 0.051 0.000 WMC2 Climate Ctrl 3.388,5 −0.073 2.110 1.812 −0.298 0.046 0.046 0.000,high,rejected
CoeffShift_WMC2_b2_before,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,2.11,0.000 WMC2 Climate Ctrl 3.388 3.315 −0.073,0 1.812 −0.298 0.046 0.046 0.000 **Table :,high,rejected
CoeffShift_WMC2_b2_after,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,1.81,WMC2 Climate Ctrl 3.388 3.315 −0.073 2.110,2 −0.298 0.046 0.046 0.000 **Table : ** Befo,high,rejected
ANCOVA_A_WMC3+FE1+FE2_Climate_R2,outputs/10_clearfell_baci/10_consolidated_report_numbers.csv,report_edits/text/report9.md,0.112,ns +0.007 0.956 0.191 146 Climate Edge −,"[−0.174, −0.050] &lt;0.001 *** +0.191 0.633 0.2",high,rejected
