Well,Well_Normalized,Cluster,Easting,Northing,ridge_distance_m,n_obs,summer_mean,winter_mean,summer_minus_winter,offset_a0,amplitude,phase_month,sinusoid_rmse,corr_sun_resid
ceh11,ceh11,1.0,242618.62,362688.287,2009.1801061052122,234,0.012542538426698016,0.009057028085372095,0.0034855103413259213,-0.00024412102291989233,0.011771175088367147,11.094268845817034,0.022619493289877484,-0.051008429197213934
ceh13,ceh13,4.0,240964.108,364066.298,897.6211118662371,217,0.016659168633021266,0.038602761095873885,-0.02194359246285262,-0.0011658801827834338,0.02644665991937862,3.2232837680912834,0.03679801775083344,0.024161304361547502
ceh14,ceh14,4.0,241292.0,364488.0,458.1571782696414,221,0.03747277914456865,0.053427424943187,-0.01595464579861835,-0.001294234440435936,0.040479090360713475,3.1379828800787424,0.0557112069996214,-0.008079411350806346
ceh16,ceh16,5.0,240988.214,363614.897,1167.7864660994294,221,0.014436323152225152,0.009009567073006935,0.005426756079218217,-7.203925305522515e-05,0.007889568187567484,10.953944858295793,0.02398475316710211,-0.004309264228898489
ceh17,ceh17,5.0,240804.597413,363576.069469,1321.905320974332,219,0.011772111638474081,0.008383251345316456,0.0033888602931576254,-0.00020809104527455647,0.012153259150382564,10.52783713898393,0.023074560346176574,-0.01807287443105617
ceh18,ceh18,3.0,241267.167,363202.889,1384.060927925483,219,0.019473689202345153,0.01750012451137097,0.0019735646909741847,-0.00012894064395825155,0.01226673176668274,11.030358757331992,0.033239902713813586,-0.045862778428998136
ceh19,ceh19,5.0,240845.741,363532.891,1324.003080420124,213,0.012150480963618017,0.00631676031675733,0.005833720646860687,-0.00013484412002993547,0.009763453065057711,10.73902818682903,0.021936010360838448,-0.02861137766445531
ceh20,ceh20,4.0,241153.0,363829.0,898.1369606023349,202,0.02069356455334884,0.020326888276411176,0.0003666762769376636,-0.0007366104848839186,0.013058568881204371,3.023491734569543,0.02923347140840819,0.031333773809698824
ceh21,ceh21,3.0,241470.51,362937.659,1587.1433647849967,186,0.011399379678998421,0.01915605122453105,-0.007756671545532629,-0.00014057986732734864,0.007992185567681956,11.700101609848934,0.017251199092623473,-0.03254844351042281
ceh22,ceh22,,241375.022,362906.94,1636.596671169777,185,0.010080026982525445,0.015263782359036741,-0.005183755376511296,1.5097779265363256e-05,0.010436231156018768,10.899402930097597,0.01766549973517478,-0.039748655546567424
ceh23,ceh23,1.0,242325.311,364428.124,579.7834993314173,170,-0.004956337297793063,-0.0008836303897997722,-0.0040727069079932905,4.208506040690161e-06,0.0032942263174915378,1.950095328572723,0.019249395030475784,-0.040601404835151775
ceh24,ceh24,2.0,242938.911,363392.114,1625.090998964975,188,0.007698809340585941,0.018702906464478437,-0.011004097123892494,6.745835667300723e-05,0.010985728398155217,11.840596855026357,0.024686229055778764,-0.03919935909981243
ceh25,ceh25,1.0,242512.557,364638.544,775.0403977761414,189,0.01622780654699992,0.050079623924346596,-0.033851817377346674,0.0002377809956475758,0.019995098671153767,11.54723897017751,0.04262260685486854,-0.11241373696015503
ceh26,ceh26,1.0,242172.261,364362.239,444.164885196926,188,-0.005020650152886008,-0.0025569335125511052,-0.002463716640334903,-0.00011820627678190088,0.00372030324055488,1.1884385782622697,0.021228171742548662,-0.03617848037317253
ceh27,ceh27,1.0,242005.373,364330.297,306.6178033611048,189,0.006072436022872686,0.013837208024539388,-0.007764772001666702,0.00012840902434285405,0.007871613103728931,11.718196250486203,0.02241909444365654,-0.04303388874231466
ceh28,ceh28,2.0,242331.051,364122.039,693.162882821935,162,0.011927300870047215,0.02039048334235867,-0.008463182472311455,-0.00014788009427510338,0.010790329519143634,11.855741715570268,0.03158197040320367,0.014229428063137952
ceh30,ceh30,4.0,241072.0,363760.0,1003.635391962639,186,0.019050595720573743,0.018058637397038352,0.0009919583235353906,-0.00012346766960056227,0.005318837819277713,1.6882068690955334,0.03023591061842807,0.007036385686659
ceh31,ceh31,5.0,241075.0,363538.0,1175.1889209824947,183,0.017445252196560082,0.015686624533087272,0.0017586276634728101,-0.0005589958994997977,0.010846511256712517,11.14355515067693,0.030582409949994498,-0.01240126705869912
Ceh32,ceh32,4.0,241167.0,364003.0,766.0926836878159,184,0.022047193475459387,0.02192528625621376,0.00012190721924562609,-5.1344905907482664e-05,0.013218265181592567,3.2961897396881086,0.02825105195859638,0.018259228518599506
ceh33,ceh33,4.0,240936.0,363808.0,1068.3913140792563,185,0.02402238615901832,0.01835984372058459,0.00566254243843373,-3.8560056530836954e-05,0.007052856369708945,1.8445322661395753,0.035222059343078455,0.009366623446569194
ceh34,ceh34,4.0,241334.0,363887.0,740.8272403199007,183,0.028773718091059247,0.03202471109260602,-0.0032509930015467703,-9.808750585831555e-05,0.010614017305486624,2.0530919537554118,0.03728666895199165,-0.027931040408620638
ceh36,ceh36,3.0,241161.0,363306.0,1331.3741021966741,178,0.007948513742918847,0.014745925098642435,-0.0067974113557235875,-9.70457130133583e-05,0.013490968117918117,10.45973983835562,0.020998719551925244,-0.004530309437592874
ceh39,ceh39,3.0,241719.0,363435.0,1065.451078182382,151,0.015490045256323644,0.0244575659527011,-0.008967520696377455,-0.00010444657118071592,0.010468208341794748,2.113546499763837,0.03411194931449309,0.024631334059460625
WMC1,wmc1,2.0,242765.629,363643.556,1328.5324951904647,201,0.008820475686355708,-0.0032629577739039435,0.012083433460259651,1.7403802901565e-05,0.006396806721812363,2.367022752766139,0.024003579391960565,0.024945483733288323
WMC2,wmc2,3.0,241885.149,362855.856,1649.6892873922975,199,0.013954587618794291,0.020464361540993865,-0.006509773922199574,0.00021126171064388455,0.012513014454267684,11.793607440247328,0.025733088416825634,-0.017700822590526702
wmc3,wmc3,3.0,241217.327,363562.323,1078.4148929136957,190,0.025724186072213006,0.022356689630767795,0.0033674964414452113,-5.774448343978856e-05,0.007864186462825367,11.801633049855072,0.0324708896240695,-0.02449398906705358
wmc4,wmc4,3.0,241761.0,364180.0,320.18900668199086,166,0.01625063768501348,0.025297317839274813,-0.009046680154261334,0.0003235559477259462,0.012169247764026683,11.333334480093452,0.03798295305674045,-0.06131067885195477
L7,l7,2.0,242812.0,364395.0,1067.178054496999,198,0.01743448159547539,0.024610464321614647,-0.007175982726139257,-0.0007354111867985609,0.015194526620695517,11.262726431015617,0.03442164579378778,-0.07510324313147315
D5,d5,2.0,242083.407,363901.712,684.9151470021706,189,0.011532423783374482,0.006805796762760232,0.00472662702061425,0.00017169002592885117,0.007795474975995159,0.15035797274041107,0.025618427124484765,-0.022599107585198442
D6,d6,2.0,242114.898,364021.851,601.4790242435449,189,0.006861206613086025,0.01410498275211837,-0.007243776139032344,-6.384530037713916e-05,0.012640725136444448,11.206393793968955,0.02627908602334068,-0.04289088715845906
D7,d7,2.0,242610.75,364204.554,910.0433513937662,178,0.01591122205372827,0.03838511053338938,-0.02247388847966111,-0.0013648293898010084,0.015024103581988987,11.520420013692561,0.03666818006148033,-0.06314605533466226
D8,d8,2.0,242676.867,364024.231,1041.8438352507394,185,0.007611528484345886,0.008763054003963341,-0.0011515255196174554,1.2268736272309065e-05,0.0069538359959750535,1.5553932307307212,0.020617779392424065,-0.003786998469162683
D9,d9,2.0,242710.726,363910.68,1127.0725395803054,183,0.01725816922022967,0.03167831463575497,-0.014420145415525297,0.0006137570401939062,0.01247649676535277,1.3875317226937376,0.03695944590761928,-0.01652754800369414
D10,d10,2.0,242613.907,364118.797,944.2727528939906,187,0.007742668681891528,0.01102799177426074,-0.003285323092369212,-0.00030918945473009047,0.007702245017600219,0.021943614372474142,0.021383536661797427,-0.02908815829469571
D15,d15,2.0,241980.565,363895.719,646.7733344735402,188,0.012235146859437098,0.018402809656250196,-0.006167662796813097,-5.9562234573129485e-05,0.012513289472048335,11.410708977144495,0.030806663253151626,-0.042722958022644496
D17,d17,2.0,242446.951,363534.961,1190.3952990170876,189,0.006621085153681222,0.018146458094024074,-0.011525372940342851,0.00022662086582580729,0.006801229507956419,0.7085726129575367,0.025419412213783976,-0.006555314383661028
D25,d25,3.0,242215.187,363143.807,1433.7567430418878,168,0.011563801290759526,0.013659949848806552,-0.002096148558047026,7.374381999099316e-05,0.013666963827695056,10.584699816270081,0.02547404825636271,-0.020204453558896992
D38,d38,2.0,242711.571,363069.196,1723.8964221950816,186,0.022444542577661795,0.02904630315554001,-0.006601760577878216,-2.4006927328956883e-05,0.00997676960719181,11.816415002921294,0.029056503683062906,-0.029017443656831735
D41,d41,2.0,242771.66,363342.853,1543.6250630282605,187,0.00794220216645613,-0.0016000637695404295,0.009542265935996561,-0.0002361079326552408,0.010070893179997998,10.952389499138585,0.023347973222715403,-0.04314388137434837
T41a,t41a,2.0,242709.928,363275.666,1555.7813177757223,187,0.024443446379113914,0.03545228633073685,-0.011008839951622933,-9.317448586898212e-05,0.016526559487518383,11.503377480488387,0.036681318028152554,-0.046122242763904774
T41b,t41b,2.0,242715.085,363309.565,1532.489656229359,189,0.003232289303439268,0.006765180283781816,-0.003532890980342548,9.233144376567219e-05,0.013308621919759041,11.057830562508,0.024189011702200804,-0.04029453462554996
T41c,t41c,2.0,242721.13,363323.682,1525.3909380955677,187,0.0006188888920965011,-0.0012565370500905657,0.0018754259421870667,-5.141408250819027e-05,0.010353508798724138,10.807578489836395,0.018743702186223628,-0.036956869510729205
T41d,t41d,2.0,242731.987,363353.284,1509.7205214293874,187,0.006095517114171413,-0.0010383118889049688,0.0071338290030763815,-0.00012967127277197966,0.010416318474744867,10.775379510584452,0.020631219730226857,-0.04541887905357665
D43,d43,2.0,242664.714,363428.693,1408.6874706779188,189,0.014170884439843176,0.024645194999398056,-0.01047431055955488,8.534569784137322e-05,0.017140174002330817,11.0357009163199,0.02975005339453999,-0.08404577914749944
D44,d44,2.0,242819.407,363279.547,1622.6943202149823,189,0.010704849774925274,-0.005822218047287497,0.01652706782221277,-2.694491445839479e-05,0.007457273387454302,11.631893184954492,0.02951948877752688,-0.023185180069975782
