Name_Original,Cluster_ID,E,N,dem,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_1,pvalue_beta_2,pvalue_beta_3,Model_R2,n
D17,2,242446.951,363534.961,7.979,4.3160798882337925,1.4481231183155616,0.0717983615165974,3.280775603195013e-23,0.0006686419040271,6.962265003111931e-09,0.6740468113685332,100
D25,3,242215.187,363143.807,5.401,3.4689699484937284,1.3361224332003168,0.0576262611523819,1.6771574643435677e-21,8.65545494033676e-05,5.1658063018386023e-08,0.6597071505280593,100
D38,2,242711.571,363069.196,4.771,5.439275589905257,1.3135134204658598,0.1117989416182612,6.5999741853016715e-34,0.0003099821762072,1.6437547942464042e-17,0.7948893187528756,100
D41,2,242771.66,363342.853,5.92,3.9964707731270335,1.4688609405580704,0.0668818964722908,2.072968468575125e-23,0.0001675722560303,8.301812364034121e-09,0.6799999480730954,100
T41a,2,242709.928,363275.666,5.89,5.458277790938735,1.799551995650039,0.1042886886899596,2.47402867546917e-28,4.911442864233724e-05,1.85165590268784e-12,0.7363766456279048,100
T41b,2,242715.085,363309.565,5.71,3.9744477776081264,1.3099417274759126,0.0649445340148257,2.37898752025427e-25,0.0002770787225259,7.128799383404605e-10,0.7085031452891457,100
T41c,2,242721.13,363323.682,5.89,4.21309717411394,1.4250703158523188,0.0715324434654534,5.83749657111483e-29,2.914750915085822e-05,7.149314045568156e-12,0.754821590952137,100
T41d,2,242731.987,363353.284,6.3,3.9702487051003423,1.5268195884405962,0.0691189980771781,2.2512967962119828e-26,1.4265531316238217e-05,5.69992188767963e-10,0.7248922291669055,100
D43,2,242664.714,363428.693,6.907,4.5800305870203015,1.8455155803165624,0.0753671909105831,6.510413563247483e-35,9.960016828781637e-09,3.7429426051629583e-14,0.8191748699752062,100
D44,2,242819.407,363279.547,5.81,4.670034419041056,1.4112179638831313,0.0897947660593767,1.7397638861568587e-24,0.000969166382264,1.7974866358299895e-10,0.6853938522361351,100
